file,path,heuristic,status,runtime_sec,decisions,conflicts,learned_clauses,propagations
aim-200-6_0-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-6_0-yes1-1.cnf,baseline,SAT,2.180929,62,26,26,1171
aim-200-6_0-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-6_0-yes1-1.cnf,vsids,SAT,0.826016,30,10,10,601
aim-200-6_0-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-6_0-yes1-2.cnf,baseline,SAT,9.158444,217,120,120,4401
aim-200-6_0-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-6_0-yes1-2.cnf,vsids,SAT,3.582818,137,50,50,1621
aim-200-6_0-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-6_0-yes1-3.cnf,baseline,TIMEOUT,10.007361,237,132,132,5006
aim-200-6_0-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-6_0-yes1-3.cnf,vsids,SAT,7.296281,202,92,92,3321
aim-200-6_0-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-6_0-yes1-4.cnf,baseline,SAT,4.243714,131,52,52,2089
aim-200-6_0-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-200-6_0-yes1-4.cnf,vsids,SAT,1.72798,60,16,16,723
aim-50-1_6-no-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-no-1.cnf,baseline,UNSAT,0.034528,44,11,10,62
aim-50-1_6-no-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-no-1.cnf,vsids,UNSAT,0.027401,34,8,7,59
aim-50-1_6-no-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-no-2.cnf,baseline,UNSAT,0.084214,72,27,26,191
aim-50-1_6-no-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-no-2.cnf,vsids,UNSAT,0.13464,110,26,25,222
aim-50-1_6-no-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-no-3.cnf,baseline,UNSAT,0.096025,96,15,14,130
aim-50-1_6-no-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-no-3.cnf,vsids,UNSAT,0.124704,108,21,20,143
aim-50-1_6-no-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-no-4.cnf,baseline,UNSAT,0.043003,42,10,9,62
aim-50-1_6-no-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-no-4.cnf,vsids,UNSAT,0.043255,55,13,12,60
aim-50-1_6-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-yes1-1.cnf,baseline,SAT,0.09636,77,16,16,153
aim-50-1_6-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-yes1-1.cnf,vsids,SAT,0.06393,64,19,19,179
aim-50-1_6-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-yes1-2.cnf,baseline,SAT,0.041475,43,7,7,83
aim-50-1_6-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-yes1-2.cnf,vsids,SAT,0.046614,44,10,10,102
aim-50-1_6-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-yes1-3.cnf,baseline,SAT,0.125451,78,33,33,422
aim-50-1_6-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-yes1-3.cnf,vsids,SAT,0.066975,65,25,25,301
aim-50-1_6-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-yes1-4.cnf,baseline,SAT,0.024535,30,10,10,112
aim-50-1_6-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-1_6-yes1-4.cnf,vsids,SAT,0.030954,23,8,8,163
aim-50-2_0-no-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-no-1.cnf,baseline,UNSAT,0.056193,45,16,15,116
aim-50-2_0-no-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-no-1.cnf,vsids,UNSAT,0.040538,42,12,11,79
aim-50-2_0-no-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-no-2.cnf,baseline,UNSAT,0.12138,77,21,20,200
aim-50-2_0-no-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-no-2.cnf,vsids,UNSAT,0.176872,113,31,30,270
aim-50-2_0-no-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-no-3.cnf,baseline,UNSAT,0.155251,112,34,33,286
aim-50-2_0-no-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-no-3.cnf,vsids,UNSAT,0.105357,77,24,23,202
aim-50-2_0-no-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-no-4.cnf,baseline,UNSAT,0.139803,79,25,24,244
aim-50-2_0-no-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-no-4.cnf,vsids,UNSAT,0.022417,33,10,9,41
aim-50-2_0-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-yes1-1.cnf,baseline,SAT,0.05664,50,9,9,99
aim-50-2_0-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-yes1-1.cnf,vsids,SAT,0.096037,63,20,20,174
aim-50-2_0-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-yes1-2.cnf,baseline,SAT,0.159546,91,37,37,421
aim-50-2_0-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-yes1-2.cnf,vsids,SAT,0.091628,53,15,15,150
aim-50-2_0-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-yes1-3.cnf,baseline,SAT,0.17913,84,29,29,476
aim-50-2_0-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-yes1-3.cnf,vsids,SAT,0.075936,35,14,14,166
aim-50-2_0-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-yes1-4.cnf,baseline,SAT,0.032165,24,7,7,89
aim-50-2_0-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-2_0-yes1-4.cnf,vsids,SAT,0.048776,27,12,12,137
aim-50-3_4-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-3_4-yes1-1.cnf,baseline,SAT,0.216584,80,44,44,562
aim-50-3_4-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-3_4-yes1-1.cnf,vsids,SAT,0.141776,66,31,31,344
aim-50-3_4-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-3_4-yes1-2.cnf,baseline,SAT,0.08662,36,15,15,231
aim-50-3_4-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-3_4-yes1-2.cnf,vsids,SAT,0.122896,52,25,25,329
aim-50-3_4-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-3_4-yes1-3.cnf,baseline,SAT,0.117352,46,18,18,308
aim-50-3_4-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-3_4-yes1-3.cnf,vsids,SAT,0.058857,24,7,7,163
aim-50-3_4-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-3_4-yes1-4.cnf,baseline,SAT,0.079346,35,15,15,210
aim-50-3_4-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-3_4-yes1-4.cnf,vsids,SAT,0.185554,59,32,32,451
aim-50-6_0-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-6_0-yes1-1.cnf,baseline,SAT,0.045747,10,7,7,99
aim-50-6_0-yes1-1.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-6_0-yes1-1.cnf,vsids,SAT,0.102174,24,19,19,357
aim-50-6_0-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-6_0-yes1-2.cnf,baseline,SAT,0.031037,9,3,3,84
aim-50-6_0-yes1-2.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-6_0-yes1-2.cnf,vsids,SAT,0.022974,7,3,3,65
aim-50-6_0-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-6_0-yes1-3.cnf,baseline,SAT,0.065146,23,15,15,202
aim-50-6_0-yes1-3.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-6_0-yes1-3.cnf,vsids,SAT,0.0459,15,8,8,128
aim-50-6_0-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-6_0-yes1-4.cnf,baseline,SAT,0.114954,34,25,25,361
aim-50-6_0-yes1-4.cnf,C:\Users\Alkizar\Downloads\aim\aim-50-6_0-yes1-4.cnf,vsids,SAT,0.078298,21,15,15,202
